accepted_step,backtracks,case,coefficients,forward_solves,gradient_norm,kind,loss,maximum_normal_step_m,relative_l2,seed,stage,stage_accepted_step
13,1,circle,"[0.049877810011799084, 0.5000550230824111, 0.5002367573943911, 1.655864550951372e-05, 6.920459179140218e-06, 1.1747959313594905e-05, 1.711118034008076e-05, 1.602752800932941e-05, -1.4805671183482299e-05, -1.9273885010509944e-06, 3.3918046375697915e-06]",26,8.048727133295987,identity,0.0004211348973377507,0.001,0.016897552788055117,,1,8
14,2,circle,"[0.04993966295193964, 0.4999188425614133, 0.49981827473732665, 8.061860634540352e-06, 1.1539632080741284e-05, 8.042097631785986e-06, -1.2699141481074033e-05, -9.308564503997217e-06, 5.2899970329136915e-06, 2.129730497925117e-06, -4.029352416446709e-06]",32,7.785202656166535,identity,0.00026639797923113555,0.0005,0.013419379618833325,,1,9
15,3,circle,"[0.049958216581158454, 0.5000373514847278, 0.5000294743560076, 7.10771543432827e-06, 4.15690405676161e-06, 6.2921755542952085e-06, 3.1768704571442657e-06, 2.4389483690294285e-07, 2.450754164927523e-07, -1.4124107077419884e-06, 1.2153995605851612e-06]",40,6.483582806496328,identity,2.2345982783062525e-05,0.00025,0.0039052159076471966,,1,10
0,0,circle,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,sobolev,0.19714176032137706,0.0,0.6279199954156215,,0,0
1,0,circle,"[0.04497886258788638, 0.48660412208818754, 0.5091431763622902, 0.00010923613114808294, -0.00016650359526336277, -2.2706077894958698e-05, -4.669978387677312e-06, 0.0, 0.0, 0.0, 0.0]",2,53.10772020612504,sobolev,0.16225517545866153,0.002,0.569658100019058,,0,1
2,0,circle,"[0.045003799540007494, 0.488183652892474, 0.5082749530574614, 0.0001979272105866467, -0.00030967937868543835, -4.5110234813640164e-05, -9.270706763577507e-06, 0.0, 0.0, 0.0, 0.0]",3,48.50263324368901,sobolev,0.13099694032817583,0.002,0.5118533780843413,,0,2
3,0,circle,"[0.04507652235620982, 0.4897360569322208, 0.5073949296778142, 0.0002667924218683851, -0.0004290239729797872, -6.725297074077898e-05, -1.3717348175152393e-05, 0.0, 0.0, 0.0, 0.0]",4,43.765010352700166,sobolev,0.1033140223177732,0.002,0.45456357601060216,,0,3
4,0,circle,"[0.04519959926917706, 0.49125796299819774, 0.5065026776266699, 0.00031644457456526264, -0.0005237592042815093, -8.915218353345732e-05, -1.7879366855499113e-05, 0.0, 0.0, 0.0, 0.0]",5,38.9192264444035,sobolev,0.07915212113458439,0.002,0.3978746564801141,,0,4
5,0,circle,"[0.045376887491345094, 0.4927449078685469, 0.5055977159346257, 0.0003473844339969142, -0.0005927498394500201, -0.00011079141070219123, -2.158763441434547e-05, 0.0, 0.0, 0.0, 0.0]",6,33.99225331418157,sobolev,0.05845171807537379,0.002,0.3419114448958203,,0,5
5,0,circle,"[0.045376887491345094, 0.4927449078685469, 0.5055977159346257, 0.0003473844339969142, -0.0005927498394500201, -0.00011079141070219123, -2.158763441434547e-05, 0.0, 0.0, 0.0, 0.0]",8,,sobolev,0.44229685087186604,0.0,0.5566687807824031,,1,0
6,0,circle,"[0.04540027751315295, 0.4944053441652656, 0.5045616604442802, 0.00033798397604444734, -0.0005083011363478441, -1.9970476047882917e-05, -1.7601023474083798e-05, 9.542370307675263e-06, -1.1466594258310732e-05, 2.433542676456229e-06, 2.5623112730704576e-06]",10,187.09494115748217,sobolev,0.314725568804534,0.002,0.467944771276146,,1,1
7,0,circle,"[0.045653916306884784, 0.4958900026663302, 0.5035733379885701, 0.0003458253748179371, -0.0004301116661558482, 5.73498545559718e-05, -3.312693507445471e-05, 1.7536194025955007e-05, -1.7290765203100877e-05, 4.474760111220004e-06, 3.3245901150961104e-06]",12,161.83113173482877,sobolev,0.21278401753238563,0.002,0.38351813900757065,,1,2
8,0,circle,"[0.046084956340994326, 0.4971862490330737, 0.5026432442835461, 0.00036541058043531807, -0.00036445674399549497, 0.00011826239002203931, -5.508617879551925e-05, 2.3128461985923674e-05, -1.9178835052107904e-05, 5.35883972450355e-06, 3.1506189401575393e-06]",14,136.37421514873478,sobolev,0.1333805467572981,0.002,0.3029103413085024,,1,3
9,0,circle,"[0.046667184877125956, 0.4983260701013574, 0.5017471811810157, 0.00038717186010282236, -0.0003049841244796219, 0.000163177000070529, -7.626066651114039e-05, 2.5191539971227172e-05, -1.7921228812053502e-05, 4.9534444148849235e-06, 2.698974888863433e-06]",16,109.27403709177781,sobolev,0.07339885838966316,0.002,0.22447993349326117,,1,4
10,0,circle,"[0.047415350541311234, 0.49930035674148165, 0.5008780075362548, 0.0003988358947958288, -0.00024004005332308636, 0.00018955381371611542, -9.142956867071858e-05, 2.209584736742141e-05, -1.3360193927275121e-05, 3.1932265791303128e-06, 2.269375566954206e-06]",18,79.45942145182947,sobolev,0.03234916478491122,0.002,0.1492542367541368,,1,5
11,0,circle,"[0.04842232876199413, 0.5000073842805842, 0.5000843426235745, 0.0003751443611951202, -0.00014876372295651778, 0.00018619725844794513, -9.251828812058968e-05, 1.0451697525825831e-05, -4.950826881651803e-06, -1.6538502074634997e-07, 1.77680968236234e-06]",20,48.251143133753104,sobolev,0.009452924380109603,0.002,0.08111767903114,,1,6
12,0,circle,"[0.04999379866574806, 0.4999028179897242, 0.4998620103272783, 0.00019815878402935414, 1.53037101099771e-05, 9.779674822942087e-05, -4.7980047110446605e-05, -1.9930746742301248e-05, 4.990836011812139e-06, -5.481477197789691e-06, 1.9256385155399165e-07]",22,22.003594893420694,sobolev,0.0003232805787305897,0.002,0.0149143452556908,,1,7
13,3,circle,"[0.04998933430246155, 0.5000278830851187, 0.5000162923556428, 0.0001251332371640746, 7.472372796128369e-06, 8.142560334693977e-05, -3.436936419963402e-05, -1.7292391587763195e-05, 1.4170752112503841e-06, -4.119718499895964e-06, 1.0786234933819323e-07]",30,6.418993964781419,sobolev,6.737306689868765e-05,0.00025,0.006851215192468709,,1,8
0,0,circle,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,neural,0.19714176032137706,0.0,0.6279199954156215,0,0,0
1,0,circle,"[0.045013931597566094, 0.48647863687180326, 0.5090269820722886, -3.2062285937972355e-05, -1.8038232740174652e-05, -0.0002779734923900554, -4.658963260633654e-05, 0.0, 0.0, 0.0, 0.0]",2,53.10772020612504,neural,0.16358561584130923,0.002,0.5719888387745153,0,0,1
2,0,circle,"[0.04517988154509169, 0.48783561056177654, 0.5081353181955031, -5.401663195173952e-05, -3.781725721923961e-05, -0.0005386265184045234, -9.189981847480141e-05, 0.0, 0.0, 0.0, 0.0]",3,48.724998577219715,neural,0.13517883044454698,0.002,0.5199592877226966,0,0,2
3,0,circle,"[0.04545903096082327, 0.4891015467587577, 0.5073034355981788, -6.806812328464573e-05, -5.889290764101328e-05, -0.0007862051144129726, -0.00013626287291176222, 0.0, 0.0, 0.0, 0.0]",4,44.58827155115055,neural,0.11067688616234803,0.002,0.470482488860846,0,0,3
4,0,circle,"[0.04582386439903156, 0.4902981577770042, 0.5065161562801012, -7.626378562456785e-05, -8.094340448924249e-05, -0.0010236660038844406, -0.00017991466764739742, 0.0, 0.0, 0.0, 0.0]",5,40.6024449446056,neural,0.08932151268192104,0.002,0.4226618333417889,0,0,4
5,0,circle,"[0.046253750167431655, 0.4914417772192336, 0.5057620792677715, -8.049719159525847e-05, -0.00010372277159916574, -0.0012531744155068047, -0.00022302906770508201, 0.0, 0.0, 0.0, 0.0]",6,36.69877116179783,neural,0.07064245583807081,0.002,0.3758788523928177,0,0,5
5,0,circle,"[0.046253750167431655, 0.4914417772192336, 0.5057620792677715, -8.049719159525847e-05, -0.00010372277159916574, -0.0012531744155068047, -0.00022302906770508201, 0.0, 0.0, 0.0, 0.0]",8,,neural,0.5449524046753833,0.0,0.6169947825562588,0,1,0
6,0,circle,"[0.0457701955596156, 0.49241194288890155, 0.5051068777889068, -0.0003393384255201587, -0.00010509298991221744, -0.0013940262522473272, -0.00024629409102000526, 6.255979630262213e-05, -8.499368630851253e-06, -0.0001496915578425909, 9.445095663023829e-05]",10,215.5866278114958,neural,0.4511369975751603,0.002,0.5611115651421065,0,1,1
7,0,circle,"[0.045634795012320144, 0.4936189286978711, 0.5042617100988804, -0.00061160338135077, -0.00011733819645999503, -0.001587643648138794, -0.00028623802195674536, 9.291008050675712e-05, -1.1890945444798032e-05, -0.0003324547088888461, 0.00021969668848818318]",12,192.87196235528194,neural,0.3521785388908098,0.002,0.4944585549978854,0,1,2
8,0,circle,"[0.04604435609485574, 0.49460198840862074, 0.5035487856233705, -0.0007517275132569742, -0.00013887415701014863, -0.0017671808282536232, -0.0003281309196149855, 7.419763727800559e-05, -6.645529318389062e-06, -0.00047492277495060544, 0.0003297236109232707]",14,170.9423616233887,neural,0.27522942974642295,0.002,0.4354312319101177,0,1,3
9,0,circle,"[0.04664715458402028, 0.49545494945625607, 0.5029358104580421, -0.0008156513098354638, -0.00016273704593298738, -0.0019350969173918102, -0.00036779188759723, 4.630346978316101e-05, 1.7039817862274257e-06, -0.0005925210835395641, 0.0004252533258933929]",16,158.0410642746593,neural,0.21031272335922846,0.002,0.37907153294298357,0,1,4
10,0,circle,"[0.04732623289911897, 0.4962714707837514, 0.5023662400251792, -0.0008367185017819992, -0.00018732278575574226, -0.002102178723164489, -0.0004062650894210857, 2.300926989020608e-05, 1.1241807485566305e-05, -0.0006993290555146148, 0.0005129981199541988]",18,145.67347360990158,neural,0.1534389346832853,0.002,0.3222506985148161,0,1,5
11,0,circle,"[0.04804004670787383, 0.4970859194570445, 0.5018178252583734, -0.0008238272084510742, -0.00021194756239315733, -0.0022723432389883075, -0.00044383246063169296, 1.0562591937321882e-05, 2.127198925619807e-05, -0.0007991626807386143, 0.0005951534979862989]",20,130.73036765556327,neural,0.1052881551873351,0.002,0.2652555557765731,0,1,6
12,0,circle,"[0.048765862935932804, 0.49791876158450904, 0.5012746656582585, -0.0007764791442391726, -0.00023607518296544285, -0.0024480029053420413, -0.0004806918661683965, 1.447269703098173e-05, 3.137734635165574e-05, -0.0008918090599822003, 0.000672391733201146]",22,112.84475250156109,neural,0.06755502964926413,0.002,0.21041800583330078,0,1,7
13,0,circle,"[0.049482534375164845, 0.4987929365169404, 0.5007149697184081, -0.0006838976197473279, -0.0002589030553282445, -0.002632136317647241, -0.0005175443415935514, 4.3341493061234186e-05, 4.106545019672729e-05, -0.0009719605486431235, 0.000743585402634431]",24,92.9062233254409,neural,0.04218548173170404,0.002,0.163805472425356,0,1,8
14,0,circle,"[0.05014236422053128, 0.49977734115305983, 0.500073034752157, -0.00049352899168851, -0.00027766259678979735, -0.0028343303311635136, -0.0005587203712539042, 0.00012495481159204746, 4.8775874271135596e-05, -0.001010811250901452, 0.0007977093391081805]",26,73.39174323905351,neural,0.03123393959556779,0.002,0.13932119726235065,0,1,9
15,0,circle,"[0.049124412571712975, 0.4995604842902263, 0.5001035921411199, -4.767771223435107e-05, -0.00022656804415522143, -0.002731893573268791, -0.0005878755697867483, 0.000315496935580049, 2.2922656981105835e-05, -0.0005650238199652001, 0.0005340887054239587]",28,60.11688119856842,neural,0.026642335045549314,0.002,0.1296654585098408,0,1,10
0,0,circle,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,neural,0.19714176032137706,0.0,0.6279199954156215,1,0,0
1,0,circle,"[0.04497402988990237, 0.4862618992100911, 0.5088135333923055, 0.0003888435838442364, -3.137182831035564e-05, -7.667715714465671e-05, 0.00016517558827622698, 0.0, 0.0, 0.0, 0.0]",2,53.10772020612504,neural,0.16483592414111115,0.002,0.5741705742044103,1,0,1
2,0,circle,"[0.045018164790705674, 0.4875923949500188, 0.5075774053427076, 0.0007869719058807205, -6.378219360207185e-05, -0.00015880109485477304, 0.0003406957339811672, 0.0, 0.0, 0.0, 0.0]",3,48.975078251570366,neural,0.1340544393991137,0.002,0.5177923124170805,1,0,2
3,0,circle,"[0.04514416893707901, 0.48897110067809224, 0.5063197532741327, 0.0011837588199521396, -9.663842663908077e-05, -0.000244914227646038, 0.0005240952876343986, 0.0, 0.0, 0.0, 0.0]",4,44.50651289013956,neural,0.1057218802028474,0.002,0.45983014299379593,1,0,3
4,0,circle,"[0.045349509970504256, 0.490310369908653, 0.5051307473269508, 0.0015490917831631388, -0.0001278214286594809, -0.0003290254004509799, 0.0007038714356398972, 0.0, 0.0, 0.0, 0.0]",5,39.77715366540986,neural,0.08167787343675603,0.002,0.40417291704604863,1,0,4
5,0,circle,"[0.045630663398720274, 0.4916184962106692, 0.5040116533906086, 0.0018809514623245563, -0.0001575826755279515, -0.00041086217289838307, 0.0008811764770731452, 0.0, 0.0, 0.0, 0.0]",6,35.11307227706557,neural,0.06149199239917464,0.002,0.35069072528133577,1,0,5
5,0,circle,"[0.045630663398720274, 0.4916184962106692, 0.5040116533906086, 0.0018809514623245563, -0.0001575826755279515, -0.00041086217289838307, 0.0008811764770731452, 0.0, 0.0, 0.0, 0.0]",8,,neural,0.46912584132411905,0.0,0.5729447437780671,1,1,0
6,0,circle,"[0.04560879881515881, 0.49276421719669017, 0.5031102722484655, 0.0021073140625924797, -0.00018511194379467925, -0.00044522524231919715, 0.001040053021145751, 0.0003453177451349714, 4.138163911465078e-06, -0.0001813406523674097, 0.00027762102841044097]",10,200.14375279711734,neural,0.3745732420895405,0.002,0.5106288429949196,1,1,1
7,0,circle,"[0.04586059510989465, 0.4940341212266125, 0.502190579749919, 0.002374517918955561, -0.00021365906995584816, -0.0004890879480404552, 0.0012008475073598077, 0.0006333051671874336, 6.514167823170017e-06, -0.0003753847193874505, 0.0005679749186413691]",12,183.69279280754947,neural,0.284163013449366,0.002,0.44312858696489155,1,1,2
8,0,circle,"[0.04635021387277439, 0.4951841959243727, 0.5014607331385764, 0.002627255877761513, -0.0002375299977577288, -0.0005333339190273673, 0.0013257693211752696, 0.0007879368805047825, 7.007017988295408e-06, -0.000544532551324135, 0.0008036921226673995]",14,166.84553841787178,neural,0.21205022016855157,0.002,0.38140702492999223,1,1,3
9,0,circle,"[0.046991207403950415, 0.49626706152224925, 0.5008878014964575, 0.002854222829047208, -0.0002580071383655297, -0.000577035181606013, 0.0014183225042511852, 0.0008400712144677237, 6.795911955376291e-06, -0.0006983384354957943, 0.000989013176730623]",16,150.6629403408347,neural,0.15388546792915275,0.002,0.32374765259911414,1,1,4
10,0,circle,"[0.047718804404919074, 0.497286589354173, 0.500490589208447, 0.0030180486104646564, -0.00027443258168720076, -0.0006181688557864813, 0.0014699373871519383, 0.0007978816038016299, 6.660773258001102e-06, -0.0008368676492168969, 0.0011098650619452927]",18,133.39643931761975,neural,0.10996446176184022,0.002,0.27261307260657647,1,1,5
11,0,circle,"[0.04851914638545218, 0.49827283125070515, 0.5003058537190077, 0.0030407592422316545, -0.0002845312062747629, -0.0006572976350539421, 0.0014566200911780762, 0.000650097223168234, 7.107265177805284e-06, -0.0009582050259974366, 0.0011358143811663925]",20,116.37650253106672,neural,0.07727454308904906,0.002,0.22746469511580944,1,1,6
12,0,circle,"[0.04942531227310441, 0.4992423306884886, 0.5004440418205673, 0.0025940822606340466, -0.0002749973484623322, -0.0007053357584924947, 0.0012679183074157689, 0.0003413181752462435, 7.637344746506246e-06, -0.0010266279384614685, 0.0009439985137159421]",22,100.3090400165876,neural,0.04722297662328562,0.002,0.17666910334874347,1,1,7
13,0,circle,"[0.04960985596350423, 0.49930929041029853, 0.5001655161485091, 0.0010874657338240514, -0.00020557314565519604, -0.0008216600749487762, 0.0007839169345519013, 0.00036247174054988927, -3.901240386511248e-06, -0.000796717721780545, 0.0005396689643153393]",24,80.08885239026982,neural,0.01868621503410258,0.002,0.10945969680174529,1,1,8
14,0,circle,"[0.0504117918464742, 0.500476033412189, 0.5000412788085227, 0.0005401499855581672, -0.0001677427869619016, -0.0010236753591945746, 0.0005521189005531781, 0.00016340225554834992, -7.679096731138589e-06, -0.0007003653662891509, 0.00033466394461039025]",26,52.26076485484212,neural,0.010993619377186863,0.002,0.08357211183725363,1,1,9
15,0,circle,"[0.05003952954555173, 0.49951177295276783, 0.5003424719560603, 0.0001259666414869145, -0.0001277553370228029, -0.001033413270739474, 0.00034653999496210986, 6.960690616587057e-05, -1.1366476963925069e-05, -0.0004757538021254575, 9.773374869506183e-05]",28,39.69610900434914,neural,0.007181676414793719,0.002,0.06747022210669235,1,1,10
0,0,circle,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,neural,0.19714176032137706,0.0,0.6279199954156215,2,0,0
1,0,circle,"[0.04513528316156389, 0.4863630951975115, 0.5092913821408385, 0.0001941127291881429, -3.092828657460271e-05, 5.065102697413875e-05, -0.0001682287506241784, 0.0, 0.0, 0.0, 0.0]",2,53.10772020612504,neural,0.1675303217654306,0.002,0.5788442308003607,2,0,1
2,0,circle,"[0.04534723972255361, 0.48768414345134753, 0.508603722051721, 0.00035788586341873815, -6.169400822364903e-05, 9.754589858392438e-05, -0.00032885517205165723, 0.0, 0.0, 0.0, 0.0]",3,49.34778140323116,neural,0.1408760724903663,0.002,0.5308033015917786,2,0,2
3,0,circle,"[0.04562547180982384, 0.4889682759244237, 0.5079318820606463, 0.0004944266082737744, -9.24021710338859e-05, 0.00014068270912011955, -0.0004830830370295001, 0.0, 0.0, 0.0, 0.0]",4,45.56613260687806,neural,0.11687624753688972,0.002,0.4834795704823312,2,0,3
4,0,circle,"[0.045960860874155976, 0.49021984206879804, 0.5072708190465408, 0.0006061191299607644, -0.0001231641100942905, 0.00017995088442711023, -0.0006319903789210921, 0.0, 0.0, 0.0, 0.0]",5,41.75022457817602,neural,0.09531785839771928,0.002,0.4366185025802715,2,0,4
5,0,circle,"[0.046345242793170136, 0.49144249033467235, 0.5066153803572991, 0.0006947268075483397, -0.00015410198159759433, 0.00021512023617195318, -0.0007765699532089587, 0.0, 0.0, 0.0, 0.0]",6,37.89025372430735,neural,0.076057654237501,0.002,0.3900196257561945,2,0,5
5,0,circle,"[0.046345242793170136, 0.49144249033467235, 0.5066153803572991, 0.0006947268075483397, -0.00015410198159759433, 0.00021512023617195318, -0.0007765699532089587, 0.0, 0.0, 0.0, 0.0]",8,,neural,0.5732781389665835,0.0,0.6339469086316318,2,1,0
6,0,circle,"[0.04604902328941417, 0.49259405118074195, 0.5059336473543766, 0.0008836778671867855, -0.00017955218940825346, 0.0002827019567057183, -0.000924724613097478, -3.6010283458380838e-06, 2.394581061596709e-05, -0.0003223806990987862, 1.9367030391959195e-05]",10,222.82788418118034,neural,0.4631790749896649,0.002,0.5692146371709886,2,1,1
7,0,circle,"[0.046040067800412546, 0.4938575284515069, 0.505201992411219, 0.0010610271782995856, -0.00020890186647870652, 0.00034599698440306915, -0.0010859342642107275, -1.1415468224475766e-05, 4.9568820302252364e-05, -0.0006630201323928504, 4.835057420460626e-05]",12,202.63694852514647,neural,0.35923591341329253,0.002,0.5001910240596318,2,1,2
8,0,circle,"[0.046319993847626535, 0.49495511208978915, 0.5045654468268549, 0.0011895050303718088, -0.00023615085490892487, 0.00038573442729780634, -0.0012261772364595218, -1.92193811780709e-05, 7.156847457240507e-05, -0.0009407083487658235, 8.382117649779127e-05]",14,182.3999512106426,neural,0.27789205068024725,0.002,0.43870900462201756,2,1,3
9,0,circle,"[0.04676374229718484, 0.49595493586845163, 0.5039603614022768, 0.0012874758950503964, -0.0002627688448683468, 0.00040326725730780415, -0.0013567816017440604, -2.3091478258135765e-05, 9.199914034221826e-05, -0.0011720014084621142, 0.00012750615333836582]",16,165.63105498818874,neural,0.2094413638004535,0.002,0.3796295790363325,2,1,4
10,0,circle,"[0.047310705262218894, 0.49688951437103906, 0.5033465209537742, 0.001358892900966943, -0.0002896677852875984, 0.000394876893817092, -0.001483847975251782, -1.8809428176965664e-05, 0.00011208088461043327, -0.001360088180762533, 0.00018226769674790114]",18,148.86593339511933,neural,0.15136715655063962,0.002,0.32140278318916143,2,1,5
11,0,circle,"[0.04793133818149139, 0.4977717478254177, 0.5026900281783072, 0.0013974097491998513, -0.00031756832469832336, 0.0003507489882418947, -0.0016109062540755157, -3.8641490603455035e-07, 0.00013274521132477496, -0.0014971684804918775, 0.0002529615476883583]",20,130.9065396655684,neural,0.10350179007792257,0.002,0.26415947429784836,2,1,6
12,0,circle,"[0.04861066950958731, 0.49859396995625493, 0.5019541264761014, 0.0013809801521517035, -0.0003470447465065738, 0.00024925308166457555, -0.0017390147095215972, 4.26867671880254e-05, 0.00015490849435287004, -0.0015581297394063605, 0.0003482654650027059]",22,111.9513583674576,neural,0.06636070997634233,0.002,0.20941821314564507,2,1,7
13,0,circle,"[0.04929758745599088, 0.4992690490656836, 0.5011400433014728, 0.0012515811688028219, -0.00037639506587803514, 4.866235079815156e-05, -0.0018557858121592851, 0.0001281519089272713, 0.00017837104220286553, -0.0014795629232605613, 0.00047825208838590165]",24,93.03886245598912,neural,0.041109766969773656,0.002,0.1624140672355219,2,1,8
14,0,circle,"[0.049787340224663815, 0.49957030296079413, 0.500482421965497, 0.000926805982056744, -0.0003950669721684764, -0.0002668014679539179, -0.001907635468999446, 0.00025555209823911935, 0.00019742390784771767, -0.0011993255865140042, 0.0006207783078587052]",26,75.98895999719944,neural,0.027398734883655428,0.002,0.13107937847895643,2,1,9
15,0,circle,"[0.05009264269542565, 0.4996863816445627, 0.5001872870044297, 0.0002820073065274326, -0.00039564326233390047, -0.0007095560648157214, -0.0018513961282303267, 0.0003948835993809992, 0.00021178889194624798, -0.0007512571665719532, 0.0007433828269733504]",28,62.32861380168934,neural,0.01863759796468299,0.002,0.10760817622115633,2,1,10
0,0,star,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,identity,0.2096818648316201,0.0,0.6475829905604689,,0,0
1,0,star,"[0.04495869910478189, 0.48656786466712004, 0.5091609469252452, 0.0001601347625821536, -0.00020616562727952223, -4.072233309203934e-05, -5.3956241494582794e-06, 0.0, 0.0, 0.0, 0.0]",2,56.1103725130271,identity,0.17344160425054245,0.002,0.588967918057584,,0,1
2,0,star,"[0.044956769886140995, 0.48812360202392885, 0.5083039777232928, 0.0002944421372404677, -0.000381934014801589, -8.12519335996681e-05, -1.2000582350590158e-05, 0.0, 0.0, 0.0, 0.0]",3,51.30087198545986,identity,0.14079559549107606,0.002,0.5306516663331532,,0,2
3,0,star,"[0.044996545899747775, 0.4896650850277329, 0.5074280652548846, 0.00040331742779969095, -0.000525721932084447, -0.00012169295946833355, -1.947413610857682e-05, 0.0, 0.0, 0.0, 0.0]",4,46.327264897586055,identity,0.1117290116962614,0.002,0.47271346859648794,,0,3
4,0,star,"[0.0450813842866423, 0.4911894274323464, 0.5065320139666405, 0.0004870891081580656, -0.0006355058209532234, -0.00016212111320176425, -2.7360338047568537e-05, 0.0, 0.0, 0.0, 0.0]",5,41.20955640937103,identity,0.08622872377625931,0.002,0.4152799628594169,,0,4
